character_name,character_sex,character_age,character_occupation,character_is_alive,species_id,country_id,appearance_id
Альбин Харт,Мужской,39,Мародер,False,8,33,75
Альбина Тоттелькампф,Женский,53,Преподаватель,True,8,33,76
Альбрехт Хокенхол,Мужской,65,Военнослужащий,True,8,24,77
Альбрых,Мужской,42,ЧародейВоеннослужащий,False,8,8,78
Альвин,Мужской,51,,True,8,29,79
Альвина,Женский,61,,True,8,33,80
Альдерт Геэрт,Мужской,47,ПреподавательИсторик,False,8,33,81
Альдона Ламх,Женский,33,,True,8,24,82
Альзур,Мужской,23,ЧародейИсследователь,False,8,29,83
Альрик де Самп,Мужской,60,,True,8,33,84
Альфред Набель,Мужской,27,Ученый-изобретатель,True,5,33,85
Альфред Панкрац,Мужской,66,,True,8,24,86
Аля,Женский,66,Дворянка,True,8,19,87
Амавет,Мужской,35,Дворянин,False,8,29,88
Амадей Риттерхоф,Мужской,36,Чародей,True,8,33,89
Амадис де Трастамара,Мужской,66,Главный ловчий,True,8,33,90
Амарантовый,Мужской,70,Боец на арене,True,8,33,91
Амброзио,Мужской,27,Купец,True,8,33,92
Амзвари,Мужской,54,Кузнец,True,8,29,93
Амос вар Ыпсис,Мужской,63,Чародей,False,8,8,94
Амринн,Женский,26,Проститутка,True,11,33,95
Анабелль,Женский,43,,False,8,29,96
Анабель Радфинд,Женский,36,ЧародейкаПисательница,True,8,33,97
Анаис Ла Валетт,Женский,38,,True,8,29,98
Ангулема,Женский,49,Разбойница,False,8,33,99
Ангус Бри–Кри,Мужской,59,ПартизанВоеннослужащий,False,11,33,100
Анди Бибервельт,Мужской,15,Ездовой,True,9,33,101
Андреа Равикс,Мужской,22,Писатель,True,8,33,102
Андреас Блюме,Мужской,34,Сенешаль,True,8,29,103
Андрес Верный,Мужской,59,ГоловорезСолдат,True,8,24,104
Анешка,Женский,19,Травница,True,8,33,105
Анзельм Обри,Мужской,65,РыцарьДворянин,False,8,29,106
Анисса,Женский,36,Чародейка,False,8,33,107
Анна (Свадьба),Женский,17,,True,8,33,108
Анна Генриетта,Женский,57,Государственный деятель,False,8,33,109
Анна Заик,Женский,55,,False,8,29,110
Анна Йей-Пинькович,Женский,39,ДворянкаАрхитектор,True,8,24,111
Анна Камэни,Женский,33,Дворянка,True,8,29,112
Анна Стенгер,Женский,65,,False,8,29,113
Анна Тройденида,Женский,28,Дворянка,True,8,12,114
Аннар,Мужской,65,Воин,False,8,22,115
Анри де Тулуз ван Кот,Мужской,16,Художник,True,8,33,116
Ансельм,Мужской,47,Купец,True,8,33,117
Ансельм (Рыцарь),Мужской,68,РыцарьНаркоторговец,False,8,24,118
Анси,Мужской,69,ДворянинРыцарь,True,8,15,119
Антарес Саррасин,Мужской,18,ДворянинВинодел,True,8,33,120
Антек,Мужской,57,,True,8,29,121
Антея Деррис,Женский,58,Торговый посредник,False,8,33,122
Антиквар,Мужской,40,ТорговецАнтиквар,True,8,33,123
Антон Бородатый,Мужской,25,Дворянин,False,8,17,124
Антон де Крайо,Мужской,22,Дворянин,False,8,17,125
Антоний Пфайль,Мужской,65,РыцарьБандит,False,8,33,126
Антуан Мойр,Мужской,65,КорчмарьВоеннослужащий (ранее),True,8,8,127
Антуан Страгген,Мужской,21,ПреступникЛидер банды,False,8,33,128
Антуанетта,Женский,18,Дворянка,True,8,33,129
Аплегатт,Мужской,64,Королевский гонец,False,8,33,130
Април,Женский,65,Чародейка,True,8,33,131
Арамиль,Мужской,50,,True,11,33,132
Арве Гребец,Мужской,62,Наездник,True,8,21,133
Аргентина,Женский,50,Дворянка,True,8,19,134
Аргойн,Мужской,31,Игрок в гвинт,True,7,33,135
Ардаль аэп Даги,Мужской,26,Военный и государственный деятель,False,8,8,136
Арек,Мужской,22,,False,8,29,137
Ариан Ла Валетт,Мужской,31,ДворянинРыцарь,False,8,29,138
Аридея,Женский,57,Княжная,True,8,33,139
Арике из Хиндарсфьялля,Женский,37,,True,8,21,140
Аристид Вермуллен,Мужской,28,Государственный деятельДворянин,True,8,12,141
Аристократка,Женский,53,,True,8,33,142
Аристотель Бобек,Мужской,67,Философ,True,8,33,143
Арнагад,Мужской,56,Ведьмак,True,8,33,144
Арнвальд,Мужской,26,Сенешаль,False,8,21,145
Арнйольф Отцеубийца,Мужской,67,Воин-ренегат,False,8,21,146
Арно Вестер,Мужской,48,Преступник (ранее)Наемник,False,8,33,147
Арно Хардботтом,Мужской,20,,True,9,33,148
Арнольд аэп Блюме,Мужской,21,Военнослужащий,False,8,8,149
Арнольт Малигер,Мужской,30,Шпион,False,8,10,150
Арнульф,Мужской,50,,False,8,21,151
Артауд Терранова,Мужской,20,Чародей,False,8,33,152
Артис,Мужской,19,Жрец СвальблодаДруид,True,8,21,153
Арториус Виго,Мужской,19,Чародей,True,8,33,154
Артуа,Мужской,38,,True,8,33,155
Артур де Влеестер,Мужской,56,Чародей,False,8,33,156
Артур Тайлес,Мужской,70,РыцарьДворянин,False,8,29,157
Арчибальд О'Нейл,Мужской,27,Кулачный боец,True,8,33,158
Аса Тъязи,Мужской,23,Капитан драккара,True,8,33,159
Ассе,Мужской,38,Разбойник,False,8,19,160
Ассирэ вар Анагыд,Женский,45,Чародейка,False,8,33,161
Астрид,Женский,42,,True,8,21,162
Астрид (Жрица),Женский,54,Жрица,True,8,21,163
Астрид Змея,Женский,60,Наездница,True,8,21,164
Атлан Курк,Мужской,42,Чародей,False,8,33,165
Ауберон Муиркетах,Мужской,36,Правитель Народа Ольх,False,11,33,166
Аудоен,Мужской,26,Государственный деятель,True,8,24,167
Аффан Хиллергран,Мужской,28,Военнослужащий,False,8,8,168
Аэвениен,Женский,16,Aen Saevherne,True,11,33,169
Аэгар,Мужской,21,ЦиркачПартизан (?)[1],True,11,33,170
Аэдиреен,Женский,17,Государственный деятель,True,8,2,171
Аэлидия,Женский,18,Пиратка,True,8,21,172
Аэлирэнн,Женский,15,Революционер,False,11,33,173
Аэллин Альтспарр,Женский,45,Трубадурка,True,11,33,174
Аэрамас,Мужской,48,ЧародейТиромант,False,8,33,175
Бабка,Женский,44,,True,8,33,176
Бабушка (Ведьмак),Женский,70,,False,8,29,177
Бабушка Риты,Женский,45,,True,8,33,178
Базили,Женский,18,Бургомистр,True,8,29,179
Балдуин Аэдирнский,Мужской,65,Государственный деятель,True,8,2,180
Балдуин Тиссен,Мужской,46,Государственный деятель,False,8,12,181
Балин Фергюссон,Мужской,35,Шахтёр,False,7,33,182
Баллар,Мужской,58,,True,8,33,183
Балт,Мужской,49,,False,8,29,184
Балтимор,Мужской,20,,True,7,33,185
Банг,Мужской,15,Прислужник Дегерлунда,False,8,33,186
Барклай Эльс,Мужской,68,Староста ВергенаПолководец,False,7,18,187
Барменша,Женский,26,Торговец,True,8,33,188
Бармин,Мужской,65,ВедьмакНаставник ведьмаков,True,8,33,189
Барнаба Беккенбауэр,Мужской,69,ИзобретательИсследователь,False,5,33,190
Барон Ла Валетт,Мужской,27,Дворянин,True,8,29,191
Барон Морхоффкин,Мужской,45,Дворянин,True,8,33,192
Барон Россель,Мужской,60,Дворянин,True,8,33,193
Барон Суркратасс,Мужской,56,Дворянин,True,8,12,194
Баронесса Девлетт,Женский,69,Дворянка,True,8,33,195
Барт,X,67,,True,8,33,196
Бартел из Хенгфорса,Мужской,33,Ученик ведьмаков,False,8,9,197
Бартоломей,Мужской,25,,False,8,29,198
Бартоломей де Лоне,Мужской,28,Бронник,False,8,33,199
Бартоломео,Мужской,63,Предприниматель,True,8,33,200
Бартоломео Дарец,Мужской,31,Гоэт,True,8,33,201
Бартон,Мужской,38,Солдат,True,8,10,202
Бартослав,Мужской,70,Смотритель маяка,True,8,29,203
Бартош (Кровь и Вино),Мужской,36,,True,8,33,204
Бастьен Вильдерверт,Мужской,30,Солдат,False,8,29,205
Беа,Женский,21,Официантка,True,8,24,206
Беатрис из Ковира,Женский,63,Дворянка,True,8,12,207
Бегония Бибервельт,Женский,32,,True,9,33,208
Бедная горожанка,Женский,35,,True,8,33,209
Беженец,Мужской,26,Беженец,True,8,29,210
Безглавый,Мужской,25,,True,8,33,211
Безымянный ведьмак,Мужской,29,ВедьмакНаёмный убийца,False,8,33,212
Бекка из Назаира,Женский,68,Королева,True,8,33,213
Белая Дама (Что-то кончается что-то начинается),Женский,29,,False,8,33,214
Белогун,Мужской,69,Государственный деятель,False,8,11,215
Бенда,Мужской,35,Государственный деятель,True,8,10,216
Бенуа,Мужской,50,Сомелье,True,8,33,217
Берг из Марибора,Мужской,32,СолдатШпион (?),False,8,29,218
Бергтора,Женский,64,,True,8,21,219
Беренгар,Мужской,17,Ведьмак,False,8,33,220
Беренгар Леуваарден,Мужской,22,Купец,True,8,33,221
Беренгария Тиссен,Женский,43,Королева,True,8,12,222
Бернард Лоредо,Мужской,53,ВоеннослужащийКомендант Флотзама,False,8,29,223
Бернард Тулле,Мужской,16,БандитКупец,False,9,33,224
Берни Майерсдорф,Мужской,57,Пчеловод,True,9,33,225
Берника,Женский,31,Правительница,True,8,28,226
Бернье Хофмайер,Мужской,63,Фермер,True,9,33,227
Беррик,Мужской,28,Государственный деятель,True,8,15,228
Берт,Мужской,19,,False,8,24,229
Берт Бригден,Мужской,20,Военнослужащий,False,8,33,230
Берта,Женский,19,Проститутка,True,8,24,231
Бертольд,Мужской,44,Алхимик,True,8,33,232
Бертольд Канделерия,Мужской,68,Кузнец,True,7,18,233
Бертрам,Мужской,20,Крестьянин,False,8,24,234
Бертрам Скеллен,Мужской,63,,True,8,8,235
Бертрам Таулер,Мужской,16,КупецНаёмник (ранее)Ведьмак (ранее),False,8,33,236
Бианка д'Эст,Женский,55,Чародейка,True,8,33,237
Биелка,Женский,41,Дочь мельника,True,8,33,238
Бинси Блюмерхольдт,Женский,42,ВорПират,True,9,33,239
Бирна Бран,Женский,66,Королева Скеллиге,False,8,21,240
Бирута Икарти,Женский,67,Чародейка,True,8,33,241
Блавикенские музыканты,X,64,Музыканты,True,8,33,242
Блайс,Мужской,25,Наемник,False,8,33,243
Бланка из Маллеоры,Женский,57,Королева,True,8,17,244
Бласко Грант,Мужской,44,Военнослужащий,True,7,33,245
Бласко Теннербе,Мужской,59,,True,8,33,246
Блащик,Мужской,54,Крестьянин,False,8,29,247
Бленгем Бленкерт,Мужской,32,Военачальник,True,8,24,248
Блэ де Вильмон,Мужской,67,Чародей,False,8,33,249
Бо Берран,Мужской,49,ЧиновникКупец,True,8,24,250
Бо Дюваль,Мужской,32,Странствующий рыцарь,False,8,33,251
Богатырович,Мужской,55,ВоинДворянин,False,8,24,252
Богольт,Мужской,41,НаемникЛидер рубайл,True,8,24,253
Богумил де Раббе,Мужской,20,Дворянин,True,8,33,254
Богумил фон Эверек,Мужской,21,Кастелян замкаДворянин,True,8,24,255
Богун,Мужской,21,Крестьянин,True,8,15,256
Бодэ,X,52,,True,8,33,257
Божуй,Мужской,48,Охотник,False,8,29,258
Болдуин,Мужской,67,,True,8,2,259
Болтон с Переправы,Мужской,27,,True,8,33,260
Болько,Мужской,32,Староста деревни,True,8,29,261
Больной дед,Мужской,48,,True,8,33,262
Болюс,Мужской,59,ДворянинВиноделИнженер (ранее),True,8,33,263
Боратек,Мужской,32,Таможенник,True,8,33,264
Борг,Мужской,70,Стражник,True,8,33,265
Борг Железный,Мужской,20,БандитНаемник,False,8,33,266
Бореас Мун,Мужской,31,Следопыт,True,8,33,267
Борис (тролль),Мужской,54,,True,8,33,268
Борис ди Сальварес,Мужской,21,ДворянинНатуралист,True,8,33,269
Борс,Мужской,20,Странствующий рыцарь,True,8,33,270
Борх,Мужской,61,ПутешественникИскатель приключений,True,8,33,271
Браатенс,Мужской,45,Чародей,False,8,8,272
Брам,Мужской,45,Купец,True,8,29,273
Брамбл Фрунтенштрох,Мужской,33,Игрок в гвинт,True,8,33,274
Бран Тиршах,Мужской,48,Конунг,False,8,21,275
Брандон,Мужской,40,Купец,True,8,24,276
Брас из Бан Арда,Мужской,26,ЧародейТорговецРемесленник,True,8,33,277
Братья Тувены,Мужской,29,Артисты,True,8,33,278
Браэнн,Женский,55,Воительница,True,8,33,279
Бреан Хотч,Мужской,19,Предприниматель,True,9,33,280
Бреген,Мужской,46,Ведьмак,True,8,33,281
Брендон из Оксенфурта,Мужской,55,Учёный-историкПреподаватель,True,8,24,282
Бреунис Безжалостный,Мужской,54,,True,8,33,283
Бриана де Сепульведа,Женский,15,Предпринимательница,True,11,33,284
Бригида Пепеброк,Женский,24,ДворянкаШпионка,True,8,29,285
Брик,Мужской,55,Бандит,False,8,5,286
Бритон де Крайо,Мужской,31,ДворянинВоеннослужащий (ранее),True,8,17,287
Бритт,Женский,53,,True,8,21,288
Броддр,Мужской,30,ВоинЯрл,True,8,21,289
Бронвен Храбрая,Женский,16,РыцарьДворянка,True,8,33,290
Бронибор,Мужской,28,Воевода,False,8,29,291
Броник,Мужской,64,Сын мельника,True,8,33,292
Брувер Гоог,Мужской,23,Государственный деятель,True,7,18,293
Бруно,Мужской,55,Крестьянин,True,8,29,294
Бруно (Солдат),Мужской,34,Солдат,True,8,24,295
Бруно Райтенбах,Мужской,35,ИнженерПредприниматель,True,7,33,296
Будибог,Мужской,68,Чиновник,True,8,33,297
Буйвид Бэкуйзен,Мужской,51,ПутешественникИсследователь,True,8,33,298
Букай,Мужской,61,,True,8,29,299
Бусси Ла Валетт,Мужской,25,,False,8,29,300
Буцефал,Мужской,59,,True,8,33,301
Буэ,Мужской,17,Прислужник Дегерлунда,True,8,33,302
Быстрый Освальд,Мужской,42,Наездник,True,8,21,303
Бытомир,Мужской,44,Крестьянин,True,8,29,304
Бьенвеню Ла Лув,Женский,24,Государственный деятель,True,8,29,305
Бьорг,Мужской,43,Лодочный мастер,True,8,21,306
Бьорн,Мужской,42,,True,8,21,307
Бьорн Стормурссон,Мужской,34,Пират,False,8,21,308
Бьянка,Женский,47,Воительница,False,8,29,309
Бюзе,Мужской,50,Дворянин,True,8,33,310
Вабьорн,Мужской,67,СектантВоин,True,8,21,311
Вавринек Ференц,Мужской,26,Старейшина кланаГлава посёлка,True,7,18,312
Вагн,Мужской,32,Староста деревни,True,8,21,313
Валериан Пепеброк,Мужской,58,Дворянин,True,8,29,314
Валлтер,Мужской,66,Контрабандист,False,8,33,315
Вальгард,Мужской,68,Кулачный боец,True,8,21,316
Вальгериус,Мужской,32,,True,8,33,317
Вальгридовт,Мужской,21,Принц,True,8,33,318
Вальдес,Мужской,29,Лидер ганзы,True,8,33,319
Вальди Кузнец,Мужской,24,Кузнец (?)Комендант стражи,True,8,24,320
Вальдо,Мужской,58,Артист цирка,True,11,33,321
Вальдо Маркс,Мужской,33,Трубадур,True,8,32,322
Вальдо Мурис,Мужской,30,БандитШпион,False,8,24,323
Вальтер Веритас,Мужской,64,Шпион,True,8,24,324
Вальтер Майа Ромилла,Мужской,51,ДворянинПреступник,False,8,24,325
Валя,Женский,70,Дворянка,True,8,19,326
Ванадайн,Мужской,45,Воин,True,11,33,327
Вангемар,Мужской,16,Чародей,False,8,8,328
Ванда,X,15,,True,8,33,329
Вандергрифт,Мужской,51,Военачальник,False,8,10,330
Ванн Соколиный Глаз,Мужской,46,Артист цирка,True,11,33,331
Ваньелле из Бругге,Женский,46,Чародейка,False,8,33,332
Вара,Женский,38,,True,8,33,333
Варин,Мужской,62,ВедьмакНаставник ведьмаков,False,8,33,334
Варнава-Базиль Фоулти,Мужской,68,Дворецкий,True,8,33,335
Варрит Всевидящий,Мужской,64,Ведьмак,True,8,33,336
Василек,Мужской,66,,True,8,33,337
Васка,Женский,27,Староста деревниПредводитель кирпичников,True,8,29,338
Васконье,Мужской,27,Комендант ДракенборгаЗаместитель коменданта (ранее),True,8,24,339
Ваттье де Ридо,Мужской,69,Государственный деятель,True,8,8,340
Вацлав,Мужской,52,Младший офицер,True,8,24,341
Вдова Гуле,Женский,66,Владелец трактира,False,8,8,342
Вдохновенный,Мужской,65,Солдат (в прошлом)Проповедник,True,8,10,343
Ведьма с Рысьей скалы,Женский,64,ЧародейкаОтшельница,True,8,33,344
Ведьмак (Модели),X,50,,True,8,33,345
Ведьмак (Персонажи),X,30,,True,8,33,346
Ведьмаки,X,66,,True,8,33,347
Вейганд,Мужской,39,Государственный деятель,True,8,2,348
Велерад,Мужской,70,Градоправитель Вызимы,True,8,29,349
Великий Каллести,Мужской,34,ЧародейФокусник,True,8,22,350
Великий Нищий,Мужской,64,Проповедник,False,8,33,351
Велль,Мужской,31,Слуга,True,8,33,352
Венгер,Мужской,65,Государственный деятель,True,8,1,353
Вензлав из Бругге,Мужской,26,Король,True,8,3,354
Венимира,Женский,56,,True,8,33,355
Венцель Пагг,Мужской,46,ПреступникНаркоторговец,False,8,29,356
Вера,Женский,58,,False,8,24,357
Вереена,Женский,29,,False,8,33,358
Веркта,Мужской,41,Командир нисар,False,8,8,359
Вермонт Йонн,Мужской,47,ПреподавательУчёный,True,8,24,360
Верн Паллак,Мужской,47,Военнослужащий,False,8,24,361
Вернер,Мужской,47,Наемник,False,8,2,362
Вернон Роше,Мужской,62,Командир Синих ПолосокПартизан,False,8,29,363
Верноссиэль,Женский,30,ПартизанКомандир отряда,False,11,33,364
Вертверн,Мужской,25,Бард,True,8,33,365
Верховный жрец,Мужской,17,Жрец,True,8,29,366
Весемир,Мужской,47,ВедьмакНаставник ведьмаковУчитель фехтования и монстрологии,False,8,33,367
Веска,Женский,17,Кухарка,False,8,24,368
Веснушка,Женский,42,,True,8,33,369
Веспула,Женский,21,Прачка,True,8,24,370
Вестибор Гордый,Мужской,70,Государственный деятель,True,8,24,371
Ветала,Мужской,36,,False,8,33,372
Виббо Батильда,Мужской,22,Рыбак,True,7,33,373
Вивиана из Лирии,Женский,51,Королева,True,8,15,374
Вивиенна де Табрис,Женский,43,Фрейлина Анны Генриетты,False,8,33,375
Виги Помешанный,Мужской,21,ВоинДружинник Хьялмара,False,8,21,376
Видемонт,Мужской,57,Государственный деятель,True,8,2,377
Видука,Мужской,22,Государственный деятель,True,8,10,378
Виенна,Женский,52,БандитСкоя’таэль (ранее),False,11,33,379
Визимир I Старый,Мужской,19,Государственный деятель,False,8,24,380
Визимир II Справедливый,Мужской,53,Государственный деятель,False,8,24,381
Вик,Мужской,69,Бандит,False,8,24,382
Вики,Женский,55,,False,8,33,383
Виктор,Мужской,32,Бард,True,8,24,384
Виктор Моннар,Мужской,46,Винодел,False,8,33,385
Виктор Трембле,Мужской,63,Чиновник,True,8,33,386
Вилемар,Мужской,55,Собиратель редкостей,False,8,33,387
Вилиберт,Мужской,23,Чиновник,True,8,33,388
Виллем,Мужской,28,Государственный деятель (во время Второй Северной Войны)Дворянин,False,8,15,389
Виллем (Призрак),Мужской,46,Властитель Розрога,True,8,5,390
Вилли,Мужской,26,Бронник (ученик),True,7,33,391
Виллимер,Мужской,20,Церковный деятель,False,8,29,392
Виллис,Мужской,49,Наемник,False,8,33,393
Вилмер,Мужской,40,Крестьянин,True,8,15,394
Вильбур аэп Миллис Эпсивар,Мужской,61,Шпион (?),False,8,24,395
Сериал:Вильгефорц,Мужской,29,Чародей,True,8,33,396
Вильгефорц из Роггевеена,Мужской,57,ЧародейНаёмник (ранее)Друид (ранее),False,8,12,397
Вильма Вессели,Женский,41,Художница,True,8,33,398
Вильмар,Мужской,19,ВоинДружинник,False,8,21,399
Вильмар (Кровь и Вино),Мужской,20,Телохранитель,True,8,33,400
Вильмос Барток,Мужской,34,Торговец,True,8,33,401
Вильфли,Мужской,64,Служащий банка,True,7,33,402
Вильфред,Мужской,67,ВоинДружинник,False,8,21,403
Вильфрид Венцк,Мужской,35,ВоеннослужащийРыцарь,False,8,10,404
Вильхельм,Мужской,25,ВоинДружинник,False,8,21,405
Вильхельмиус Око,Мужской,36,Священнослужитель,True,8,24,406
Вильям Хардботтом,Мужской,40,,True,9,33,407
Вимме Вивальди,Мужской,34,Банкир,True,7,33,408
Виндсор Имбра,Мужской,37,,True,8,33,409
Виндхальм,Мужской,67,ДворянинПартизан,False,8,33,410
Винифрида,Женский,54,Королева,True,11,33,411
Винодел (Котий Хребет),Мужской,60,Виноторговец,True,8,33,412
Винодел (Пещера Шепота),Мужской,27,Виноторговец,True,8,33,413
Винодел (Серый Грот),Мужской,50,Виноторговец,True,8,13,414
Винодел (Тихий берег),Мужской,69,Виноторговец,True,8,33,415
Винодел (Холмы Дун Тынне),Мужской,22,Виноторговец,True,8,33,416
Винсент Ван Мурлегем,Мужской,35,Аристократ,True,8,33,417
Винсент Мольнер,Мужской,38,РыцарьНаемник,True,8,33,418
Винсент Мэйс,Мужской,52,Начальник стражи,False,8,29,419
Винсон Траут,Мужской,53,ВоеннослужащийЗаговорщик,False,8,10,420
Винченцо Сток,Мужской,43,Следователь,True,8,29,421
Виолента Суарец,Женский,26,Чародейка,True,8,33,422
Виолетта,Женский,58,Комендант кордегардии,True,8,33,423
Вираксас,Мужской,28,Государственный деятель,False,8,11,424
Виргиния,Женский,68,Дворянка,True,8,33,425
Вирсинг,Мужской,42,КорчмарьТорговец (в прошлом),True,8,29,426
Вирфурил,Мужской,53,Государственный деятель,True,8,2,427
Висенна,Женский,48,ЧародейкаДруидкаЦелительница,True,8,29,428
Виссегерд,Мужской,67,Военачальник,True,8,33,429
Витек,Мужской,65,,False,8,29,430
Витек (Кровь эльфов),Мужской,66,Преступник,False,8,33,431
Витольд фон Эверек,Мужской,48,Дворянин воин,True,8,24,432
Вицек Боровик,Мужской,35,Слуга,True,8,2,433
Вишенка,Женский,58,ЖрицаПроститутка (ранее),True,8,24,434
Влад,Мужской,56,ВоинДворянин,True,8,24,435
Влад Реймонд,Мужской,37,Писатель,True,8,33,436
Владан Васко,Мужской,65,Чиновник,True,8,2,437
Владелец ночлежки,Мужской,21,Волонтёр,True,8,33,438
Владик,Мужской,60,Крестьянин,True,8,24,439
Владимир Креспи,Мужской,34,ДворянинСтранствующий рыцарь,False,8,33,440
Владычица Озера,Женский,62,Покровительница рыцарства,True,10,33,441
Вледир,Мужской,68,Колесник,True,8,33,442
Водерик,Мужской,46,Государственный деятель,True,8,33,443
Воймир,Мужской,69,Военнослужащий,False,8,24,444
Войцех,Мужской,25,Рыбак,True,8,29,445
Вол,Мужской,52,БандитНаемник,False,8,33,446
Волчица,Женский,24,Разбойница,False,8,33,447
Вольдемар де Крот,Мужской,59,ДворянинКарточный игрок,True,8,33,448
Волькер,Мужской,18,Крестьянин,False,8,29,449
Вольтер,Мужской,44,Ведьмак-ученик,False,8,33,450
Вольфганг Амадей Козлобородик,Мужской,23,Пивовар,True,8,33,451
Вольфштейн,Мужской,45,Дворянин,True,8,33,452
Волюнд,Мужской,15,,False,8,21,453
Вор (Резиденция Эвереков),Мужской,21,Вор мародер,True,8,33,454
Ворожей,Мужской,61,Ворожей,False,8,29,455
Ворон,Мужской,17,Ведьмак,True,8,33,456
Ворона-мать,Женский,50,ДруидФламиника,True,8,21,457
Вратимир,Мужской,63,Рыцарь,True,8,33,458
Вреемде,Мужской,40,ВоеннослужащийКомандир боевой группы,False,8,8,459
Вриданк фон Эбергейд,Мужской,69,ДворянинВиночерпий,True,8,24,460
Вриданк Эльф,Мужской,42,Государственный деятель,False,8,24,461
