character_name,character_sex,character_age,character_occupation,character_is_alive,species_id,country_id,appearance_id
Арно Вестер,Мужской,57,Преступник (ранее)Наемник,False,8,,147
Арно Хардботтом,Мужской,30,,True,9,,148
Арнольд аэп Блюме,Мужской,27,Военнослужащий,False,8,8,149
Арнольт Малигер,Мужской,22,Шпион,False,8,10,150
Арнульф,Мужской,20,,False,8,21,151
Артауд Терранова,Мужской,22,Чародей,False,8,,152
Артис,Мужской,62,Жрец СвальблодаДруид,True,8,21,153
Арториус Виго,Мужской,20,Чародей,True,8,,154
Артуа,Мужской,15,,True,8,,155
Артур де Влеестер,Мужской,27,Чародей,False,8,,156
Артур Тайлес,Мужской,38,РыцарьДворянин,False,8,29,157
Арчибальд О'Нейл,Мужской,48,Кулачный боец,True,8,,158
Аса Тъязи,Мужской,30,Капитан драккара,True,8,,159
Ассе,Мужской,46,Разбойник,False,8,19,160
Ассирэ вар Анагыд,Женский,67,Чародейка,False,8,,161
Астрид,Женский,33,,True,8,21,162
Астрид (Жрица),Женский,43,Жрица,True,8,21,163
Астрид Змея,Женский,58,Наездница,True,8,21,164
Атлан Курк,Мужской,43,Чародей,False,8,,165
Ауберон Муиркетах,Мужской,64,Правитель Народа Ольх,False,11,,166
Аудоен,Мужской,41,Государственный деятель,True,8,24,167
Аффан Хиллергран,Мужской,28,Военнослужащий,False,8,8,168
Аэвениен,Женский,35,Aen Saevherne,True,11,,169
Аэгар,Мужской,57,ЦиркачПартизан (?)[1],True,11,,170
Аэдиреен,Женский,64,Государственный деятель,True,8,2,171
Аэлидия,Женский,62,Пиратка,True,8,21,172
Аэлирэнн,Женский,53,Революционер,False,11,,173
Аэллин Альтспарр,Женский,53,Трубадурка,True,11,,174
Аэрамас,Мужской,54,ЧародейТиромант,False,8,,175
Бабка,Женский,33,,True,8,,176
Бабушка (Ведьмак),Женский,16,,False,8,29,177
Бабушка Риты,Женский,18,,True,8,,178
Базили,Женский,67,Бургомистр,True,8,29,179
Балдуин Аэдирнский,Мужской,51,Государственный деятель,True,8,2,180
Балдуин Тиссен,Мужской,40,Государственный деятель,False,8,12,181
Балин Фергюссон,Мужской,36,Шахтёр,False,7,,182
Баллар,Мужской,39,,True,8,,183
Балт,Мужской,70,,False,8,29,184
Балтимор,Мужской,56,,True,7,,185
Банг,Мужской,43,Прислужник Дегерлунда,False,8,,186
Барклай Эльс,Мужской,35,Староста ВергенаПолководец,False,7,18,187
Барменша,Женский,39,Торговец,True,8,,188
Бармин,Мужской,62,ВедьмакНаставник ведьмаков,True,8,,189
Барнаба Беккенбауэр,Мужской,54,ИзобретательИсследователь,False,5,,190
Барон Ла Валетт,Мужской,70,Дворянин,True,8,29,191
Барон Морхоффкин,Мужской,37,Дворянин,True,8,,192
Барон Россель,Мужской,69,Дворянин,True,8,,193
Барон Суркратасс,Мужской,28,Дворянин,True,8,12,194
Баронесса Девлетт,Женский,26,Дворянка,True,8,,195
Барт,X,59,,True,8,,196
Бартел из Хенгфорса,Мужской,42,Ученик ведьмаков,False,8,9,197
Бартоломей,Мужской,61,,False,8,29,198
Бартоломей де Лоне,Мужской,46,Бронник,False,8,,199
Бартоломео,Мужской,61,Предприниматель,True,8,,200
Бартоломео Дарец,Мужской,33,Гоэт,True,8,,201
Бартон,Мужской,62,Солдат,True,8,10,202
Бартослав,Мужской,29,Смотритель маяка,True,8,29,203
Бартош (Кровь и Вино),Мужской,36,,True,8,,204
Бастьен Вильдерверт,Мужской,58,Солдат,False,8,29,205
Беа,Женский,60,Официантка,True,8,24,206
Беатрис из Ковира,Женский,63,Дворянка,True,8,12,207
Бегония Бибервельт,Женский,28,,True,9,,208
Бедная горожанка,Женский,29,,True,8,,209
Беженец,Мужской,17,Беженец,True,8,29,210
Безглавый,Мужской,22,,True,8,,211
Безымянный ведьмак,Мужской,61,ВедьмакНаёмный убийца,False,8,,212
Бекка из Назаира,Женский,67,Королева,True,8,,213
Белая Дама (Что-то кончается что-то начинается),Женский,48,,False,8,,214
Белогун,Мужской,42,Государственный деятель,False,8,11,215
Бенда,Мужской,42,Государственный деятель,True,8,10,216
Бенуа,Мужской,51,Сомелье,True,8,,217
Берг из Марибора,Мужской,56,СолдатШпион (?),False,8,29,218
Бергтора,Женский,53,,True,8,21,219
Беренгар,Мужской,16,Ведьмак,False,8,,220
Беренгар Леуваарден,Мужской,44,Купец,True,8,,221
Беренгария Тиссен,Женский,68,Королева,True,8,12,222
Бернард Лоредо,Мужской,27,ВоеннослужащийКомендант Флотзама,False,8,29,223
Бернард Тулле,Мужской,27,БандитКупец,False,9,,224
Берни Майерсдорф,Мужской,25,Пчеловод,True,9,,225
Берника,Женский,66,Правительница,True,8,28,226
Бернье Хофмайер,Мужской,33,Фермер,True,9,,227
Беррик,Мужской,19,Государственный деятель,True,8,15,228
Берт,Мужской,41,,False,8,24,229
Берт Бригден,Мужской,42,Военнослужащий,False,8,,230
Берта,Женский,50,Проститутка,True,8,24,231
Бертольд,Мужской,15,Алхимик,True,8,,232
Бертольд Канделерия,Мужской,53,Кузнец,True,7,18,233
Бертрам,Мужской,54,Крестьянин,False,8,24,234
Бертрам Скеллен,Мужской,21,,True,8,8,235
Бертрам Таулер,Мужской,67,КупецНаёмник (ранее)Ведьмак (ранее),False,8,,236
Бианка д'Эст,Женский,45,Чародейка,True,8,,237
Биелка,Женский,54,Дочь мельника,True,8,,238
Бинси Блюмерхольдт,Женский,35,ВорПират,True,9,,239
Бирна Бран,Женский,41,Королева Скеллиге,False,8,21,240
Бирута Икарти,Женский,26,Чародейка,True,8,,241
Блавикенские музыканты,X,56,Музыканты,True,8,,242
Блайс,Мужской,15,Наемник,False,8,,243
Бланка из Маллеоры,Женский,36,Королева,True,8,17,244
Бласко Грант,Мужской,51,Военнослужащий,True,7,,245
Бласко Теннербе,Мужской,65,,True,8,,246
Блащик,Мужской,41,Крестьянин,False,8,29,247
Бленгем Бленкерт,Мужской,21,Военачальник,True,8,24,248
Блэ де Вильмон,Мужской,69,Чародей,False,8,,249
Бо Берран,Мужской,31,ЧиновникКупец,True,8,24,250
Бо Дюваль,Мужской,46,Странствующий рыцарь,False,8,,251
Богатырович,Мужской,44,ВоинДворянин,False,8,24,252
Богольт,Мужской,20,НаемникЛидер рубайл,True,8,24,253
Богумил де Раббе,Мужской,62,Дворянин,True,8,,254
Богумил фон Эверек,Мужской,38,Кастелян замкаДворянин,True,8,24,255
Богун,Мужской,55,Крестьянин,True,8,15,256
Бодэ,X,53,,True,8,,257
Божуй,Мужской,69,Охотник,False,8,29,258
Болдуин,Мужской,23,,True,8,2,259
Болтон с Переправы,Мужской,31,,True,8,,260
Болько,Мужской,16,Староста деревни,True,8,29,261
Больной дед,Мужской,61,,True,8,,262
Болюс,Мужской,64,ДворянинВиноделИнженер (ранее),True,8,,263
Боратек,Мужской,70,Таможенник,True,8,,264
Борг,Мужской,24,Стражник,True,8,,265
Борг Железный,Мужской,59,БандитНаемник,False,8,,266
Бореас Мун,Мужской,15,Следопыт,True,8,,267
Борис (тролль),Мужской,42,,True,8,,268
Борис ди Сальварес,Мужской,21,ДворянинНатуралист,True,8,,269
Борс,Мужской,32,Странствующий рыцарь,True,8,,270
Борх,Мужской,19,ПутешественникИскатель приключений,True,8,,271
Браатенс,Мужской,26,Чародей,False,8,8,272
Брам,Мужской,15,Купец,True,8,29,273
Брамбл Фрунтенштрох,Мужской,26,Игрок в гвинт,True,8,,274
Бран Тиршах,Мужской,53,Конунг,False,8,21,275
Брандон,Мужской,58,Купец,True,8,24,276
Брас из Бан Арда,Мужской,50,ЧародейТорговецРемесленник,True,8,,277
Братья Тувены,Мужской,66,Артисты,True,8,,278
Браэнн,Женский,69,Воительница,True,8,,279
Бреан Хотч,Мужской,38,Предприниматель,True,9,,280
Бреген,Мужской,34,Ведьмак,True,8,,281
Брендон из Оксенфурта,Мужской,70,Учёный-историкПреподаватель,True,8,24,282
Бреунис Безжалостный,Мужской,52,,True,8,,283
Бриана де Сепульведа,Женский,33,Предпринимательница,True,11,,284
Бригида Пепеброк,Женский,47,ДворянкаШпионка,True,8,29,285
Брик,Мужской,28,Бандит,False,8,5,286
Бритон де Крайо,Мужской,52,Барон КрайоВоеннослужащий (ранее),True,8,17,287
Бритт,Женский,67,,True,8,21,288
Броддр,Мужской,67,ВоинЯрл,True,8,21,289
Бронвен Храбрая,Женский,46,РыцарьДворянка,True,8,,290
Бронибор,Мужской,22,Воевода,False,8,29,291
Броник,Мужской,58,Сын мельника,True,8,,292
Брувер Гоог,Мужской,21,Государственный деятель,True,7,18,293
Бруно,Мужской,47,Крестьянин,True,8,29,294
Бруно (Солдат),Мужской,55,Солдат,True,8,24,295
Бруно Райтенбах,Мужской,69,ИнженерПредприниматель,True,7,,296
Будибог,Мужской,55,Чиновник,True,8,,297
Буйвид Бэкуйзен,Мужской,66,ПутешественникИсследователь,True,8,,298
Букай,Мужской,67,,True,8,29,299
Бусси Ла Валетт,Мужской,66,,False,8,29,300
Буцефал,Мужской,44,,True,8,,301
Буэ,Мужской,38,Прислужник Дегерлунда,True,8,,302
Быстрый Освальд,Мужской,55,Наездник,True,8,21,303
Бытомир,Мужской,37,Крестьянин,True,8,29,304
Бьенвеню Ла Лув,Женский,52,Государственный деятель,True,8,29,305
Бьорг,Мужской,36,Лодочный мастер,True,8,21,306
Бьорн,Мужской,37,,True,8,21,307
Бьорн Стормурссон,Мужской,58,Пират,False,8,21,308
Бьянка,Женский,53,Воительница,False,8,29,309
Бюзе,Мужской,53,Дворянин,True,8,,310
Вабьорн,Мужской,56,СектантВоин,True,8,21,311
Вавринек Ференц,Мужской,37,Старейшина кланаГлава посёлка,True,7,18,312
Вагн,Мужской,22,Староста деревни,True,8,21,313
Валериан Пепеброк,Мужской,48,Дворянин,True,8,29,314
Валлтер,Мужской,46,Контрабандист,False,8,,315
Вальгард,Мужской,20,Кулачный боец,True,8,21,316
Вальгериус,Мужской,18,,True,8,,317
Вальгридовт,Мужской,58,Принц,True,8,,318
Вальдес,Мужской,39,Лидер ганзы,True,8,,319
Вальди Кузнец,Мужской,46,Кузнец (?)Комендант стражи,True,8,24,320
Вальдо,Мужской,68,Артист цирка,True,11,,321
Вальдо Маркс,Мужской,69,Трубадур,True,8,32,322
Вальдо Мурис,Мужской,67,БандитШпион,False,8,24,323
Вальтер Веритас,Мужской,37,Шпион,True,8,24,324
Вальтер Майа Ромилла,Мужской,60,ДворянинПреступник,False,8,24,325
Валя,Женский,23,Дворянка,True,8,19,326
Ванадайн,Мужской,29,Воин,True,11,,327
Вангемар,Мужской,16,Чародей,False,8,8,328
Ванда,X,27,,True,8,,329
Вандергрифт,Мужской,69,Военачальник,False,8,10,330
Ванн Соколиный Глаз,Мужской,62,Артист цирка,True,11,,331
Ваньелле из Бругге,Женский,36,Чародей,False,8,,332
Вара,Женский,25,,True,8,,333
Варин,Мужской,19,ВедьмакНаставник ведьмаков,False,8,,334
Варнава-Базиль Фоулти,Мужской,60,Дворецкий,True,8,,335
Варрит Всевидящий,Мужской,53,Ведьмак,True,8,,336
Василек,Мужской,25,,True,8,,337
Васка,Женский,36,Староста деревниПредводитель кирпичников,True,8,29,338
Васконье,Мужской,70,Комендант ДракенборгаЗаместитель коменданта (ранее),True,8,24,339
Ваттье де Ридо,Мужской,46,Государственный деятель,True,8,8,340
Вацлав,Мужской,58,Младший офицер,True,8,24,341
Вдова Гуле,Женский,15,Владелец трактира,False,8,8,342
Вдохновенный,Мужской,26,Солдат (в прошлом)Проповедник,True,8,10,343
Ведьма с Рысьей скалы,Женский,70,ЧародейкаОтшельница,True,8,,344
Ведьмак (Модели),X,19,,True,8,,345
Ведьмак (Персонажи),X,40,,True,8,,346
Ведьмаки,X,50,,True,8,,347
Вейганд,Мужской,20,Государственный деятель,True,8,2,348
Велерад,Мужской,70,Градоправитель Вызимы,True,8,29,349
Великий Каллести,Мужской,31,ЧародейФокусник,True,8,22,350
Великий Нищий,Мужской,53,Проповедник,False,8,,351
Велль,Мужской,29,Слуга,True,8,,352
Венгер,Мужской,35,Государственный деятель,True,8,1,353
Вензлав из Бругге,Мужской,67,Король,True,8,3,354
Венимира,Женский,38,,True,8,,355
Венцель Пагг,Мужской,48,ПреступникНаркоторговец,False,8,29,356
Вера,Женский,48,,False,8,24,357
Вереена,Женский,56,,False,8,,358
Веркта,Мужской,36,Командир нисар,False,8,8,359
Вермонт Йонн,Мужской,61,ПреподавательУчёный,True,8,24,360
Верн Паллак,Мужской,51,Военнослужащий,False,8,24,361
Вернер,Мужской,22,Наемник,False,8,2,362
Вернон Роше,Мужской,35,Командир Синих ПолосокПартизан,False,8,29,363
Верноссиэль,Женский,20,ПартизанКомандир отряда,False,11,,364
Вертверн,Мужской,27,Бард,True,8,,365
Верховный жрец,Мужской,23,Жрец,True,8,29,366
Весемир,Мужской,65,ВедьмакНаставник ведьмаковУчитель фехтования и монстрологии,False,8,,367
Веска,Женский,67,Кухарка,False,8,24,368
Веснушка,Женский,21,,True,8,,369
Веспула,Женский,62,Прачка,True,8,24,370
Вестибор Гордый,Мужской,49,Государственный деятель,True,8,24,371
Ветала,Мужской,66,,False,8,,372
Виббо Батильда,Мужской,36,Рыбак,True,7,,373
Вивиана из Лирии,Женский,55,Королева,True,8,15,374
Вивиенна де Табрис,Женский,63,Фрейлина Анны Генриетты,False,8,,375
Виги Помешанный,Мужской,54,ВоинДружинник Хьялмара,False,8,21,376
Видемонт,Мужской,23,Государственный деятель,True,8,2,377
Видука,Мужской,67,Государственный деятель,True,8,10,378
Виенна,Женский,17,БандитСкоя’таэль (ранее),False,11,,379
Визимир I Старый,Мужской,24,Государственный деятель,False,8,24,380
Визимир II Справедливый,Мужской,19,Государственный деятель,False,8,24,381
Вик,Мужской,70,Бандит,False,8,24,382
Вики,Женский,55,,False,8,,383
Виктор,Мужской,37,Бард,True,8,24,384
Виктор Моннар,Мужской,69,Винодел,False,8,,385
Виктор Трембле,Мужской,47,Чиновник,True,8,,386
Вилемар,Мужской,62,Собиратель редкостей,False,8,,387
Вилиберт,Мужской,44,Чиновник,True,8,,388
Виллем,Мужской,42,Государственный деятель (во время Второй Северной Войны)Дворянин,False,8,15,389
Виллем (Призрак),Мужской,37,Властитель Розрога,True,8,5,390
Вилли,Мужской,42,Бронник (ученик),True,7,,391
Виллимер,Мужской,30,Церковный деятель,False,8,29,392
Виллис,Мужской,43,Наемник,False,8,,393
Вилмер,Мужской,32,Крестьянин,True,8,15,394
Вильбур аэп Миллис Эпсивар,Мужской,55,Шпион (?),False,8,24,395
Сериал:Вильгефорц,Мужской,15,Чародей,True,8,,396
Вильгефорц из Роггевеена,Мужской,43,ЧародейНаёмник (ранее)Друид (ранее),False,8,12,397
Вильма Вессели,Женский,65,Художница,True,8,,398
Вильмар,Мужской,36,ВоинДружинник,False,8,21,399
Вильмар (Кровь и Вино),Мужской,29,Телохранитель,True,8,,400
Вильмос Барток,Мужской,67,Торговец,True,8,,401
Вильфли,Мужской,57,Служащий банка,True,7,,402
Вильфред,Мужской,43,ВоинДружинник,False,8,21,403
Вильфрид Венцк,Мужской,60,ВоеннослужащийРыцарь,False,8,10,404
Вильхельм,Мужской,32,ВоинДружинник,False,8,21,405
Вильхельмиус Око,Мужской,45,Священнослужитель,True,8,24,406
Вильям Хардботтом,Мужской,23,,True,9,,407
Вимме Вивальди,Мужской,16,Банкир,True,7,,408
Виндсор Имбра,Мужской,60,,True,8,,409
Виндхальм,Мужской,47,ДворянинПартизан,False,8,33,410
Винифрида,Женский,24,Королева,True,11,,411
Винодел (Котий Хребет),Мужской,55,Виноторговец,True,8,,412
Винодел (Пещера Шепота),Мужской,42,Виноторговец,True,8,,413
Винодел (Серый Грот),Мужской,49,Виноторговец,True,8,13,414
Винодел (Тихий берег),Мужской,28,Виноторговец,True,8,,415
Винодел (Холмы Дун Тынне),Мужской,51,Виноторговец,True,8,,416
Винсент Ван Мурлегем,Мужской,67,Аристократ,True,8,,417
Винсент Мольнер,Мужской,51,РыцарьНаемник,True,8,,418
Винсент Мэйс,Мужской,67,Начальник стражи,False,8,29,419
Винсон Траут,Мужской,22,ВоеннослужащийЗаговорщик,False,8,10,420
Винченцо Сток,Мужской,65,Следователь,True,8,29,421
Виолента Суарец,Женский,25,Чародейка,True,8,,422
Виолетта,Женский,27,Комендант кордегардии,True,8,,423
Вираксас,Мужской,49,Государственный деятель,False,8,11,424
Виргиния,Женский,46,Дворянка,True,8,,425
Вирсинг,Мужской,25,КорчмарьТорговец (в прошлом),True,8,29,426
Вирфурил,Мужской,20,Государственный деятель,True,8,2,427
Висенна,Женский,48,ЧародейкаДруидкаЦелительница,True,8,29,428
Виссегерд,Мужской,16,Военачальник,True,8,33,429
Витек,Мужской,54,,False,8,29,430
Витек (Кровь эльфов),Мужской,22,Преступник,False,8,,431
Витольд фон Эверек,Мужской,23,Дворянин воин,True,8,24,432
Вицек Боровик,Мужской,69,Слуга,True,8,2,433
Вишенка,Женский,36,ЖрицаПроститутка (ранее),True,8,24,434
Влад,Мужской,34,ВоинДворянин,True,8,24,435
Влад Реймонд,Мужской,47,Писатель,True,8,,436
Владан Васко,Мужской,65,Чиновник,True,8,2,437
Владелец ночлежки,Мужской,53,Волонтёр,True,8,,438
Владик,Мужской,51,Крестьянин,True,8,24,439
Владимир Креспи,Мужской,46,ДворянинСтранствующий рыцарь,False,8,,440
Владычица Озера,Женский,37,Покровительница рыцарства,True,10,,441
Вледир,Мужской,22,Колесник,True,8,,442
Водерик,Мужской,19,Государственный деятель,True,8,,443
Воймир,Мужской,51,Военнослужащий,False,8,24,444
Войцех,Мужской,53,Рыбак,True,8,29,445
Вол,Мужской,23,БандитНаемник,False,8,,446
Волчица,Женский,33,Разбойница,False,8,,447
Вольдемар де Крот,Мужской,52,ДворянинКарточный игрок,True,8,,448
Волькер,Мужской,54,Крестьянин,False,8,29,449
Вольтер,Мужской,42,Ведьмак-ученик,False,8,,450
Вольфганг Амадей Козлобородик,Мужской,24,Пивовар,True,8,,451
Вольфштейн,Мужской,59,Дворянин,True,8,,452
Волюнд,Мужской,55,,False,8,21,453
Вор (Резиденция Эвереков),Мужской,15,Вор мародер,True,8,,454
Ворожей,Мужской,15,Ворожей,False,8,29,455
Ворон,Мужской,29,Ведьмак,True,8,,456
Ворона-мать,Женский,67,ДруидФламиника,True,8,21,457
Вратимир,Мужской,53,Рыцарь,True,8,,458
Вреемде,Мужской,70,ВоеннослужащийКомандир боевой группы,False,8,8,459
Вриданк фон Эбергейд,Мужской,33,ДворянинВиночерпий,True,8,24,460
Вриданк Эльф,Мужской,53,Государственный деятель,False,8,24,461
Врыгефф,Мужской,57,Военачальник,False,8,8,462
Всебог,Мужской,66,,False,8,,463
Всерад,Мужской,30,Феодал,False,8,29,464
Вульпия из Бругге,Женский,30,Королева,True,8,3,465
Выр,Мужской,54,Бандит,False,8,,466
Высогота из Корво,Мужской,64,Отшельник ранее исследователь философ преподаватель и публицист,False,8,24,467
Высший вампир,X,18,,True,8,,468
Вэра Лёвенхаупт,Женский,43,Купчиха,True,8,,469
Вэя,Женский,35,Воительница,True,8,7,470
